date,n_articles,avg_negative,avg_neutral,avg_positive,close,next_close,next_day_pct,direction
2023-01-03,25,0.2379,0.559,0.2031,122.98,124.25,1.0314,UP
2023-01-04,33,0.2997,0.4986,0.2017,124.25,122.93,-1.0605,DOWN
2023-01-05,23,0.174,0.6322,0.1937,122.93,127.46,3.6794,UP
2023-01-06,21,0.2213,0.6026,0.1761,127.46,127.98,0.4089,UP
2023-01-09,25,0.2278,0.5505,0.2218,127.98,128.55,0.4456,UP
2023-01-10,24,0.1817,0.6349,0.1835,128.55,131.26,2.1113,UP
2023-01-11,25,0.1348,0.6592,0.206,131.26,131.18,-0.0599,DOWN
2023-01-12,26,0.2215,0.6107,0.1678,131.18,132.51,1.0119,UP
2023-01-13,16,0.0968,0.7901,0.1132,132.51,133.67,0.8756,UP
2023-01-17,18,0.1381,0.6323,0.2296,133.67,132.95,-0.537,DOWN
2023-01-18,25,0.1343,0.5868,0.2789,132.95,133.01,0.0444,UP
2023-01-19,16,0.0825,0.7292,0.1883,133.01,135.57,1.9221,UP
2023-01-20,16,0.0631,0.6447,0.2921,135.57,138.76,2.35,UP
2023-01-23,23,0.0861,0.6884,0.2255,138.76,140.15,1.0063,UP
2023-01-24,27,0.2021,0.6592,0.1386,140.15,139.49,-0.4701,DOWN
2023-01-25,14,0.2107,0.6452,0.144,139.49,141.56,1.4803,UP
2023-01-26,24,0.2176,0.6358,0.1466,141.56,143.49,1.3684,UP
2023-01-27,21,0.1104,0.679,0.2106,143.49,140.61,-2.0078,DOWN
2023-01-30,22,0.2953,0.5507,0.1541,140.61,141.88,0.9021,UP
2023-01-31,25,0.2223,0.6125,0.1652,141.88,143.0,0.7901,UP
2023-02-01,24,0.3391,0.5279,0.133,143.0,148.3,3.7063,UP
2023-02-02,22,0.2715,0.5328,0.1957,148.3,151.92,2.44,UP
2023-02-03,36,0.185,0.6101,0.2048,151.92,149.2,-1.7929,DOWN
2023-02-06,25,0.1908,0.6179,0.1913,149.2,152.07,1.9244,UP
2023-02-07,24,0.2007,0.56,0.2393,152.07,149.38,-1.7653,DOWN
2023-02-08,21,0.1827,0.6363,0.181,149.38,148.35,-0.6911,DOWN
2023-02-09,19,0.3529,0.5088,0.1383,148.35,148.72,0.2456,UP
2023-02-10,15,0.1521,0.5145,0.3334,148.72,151.51,1.8807,UP
2023-02-13,14,0.2022,0.5547,0.2431,151.51,150.87,-0.4225,DOWN
2023-02-14,9,0.1886,0.6342,0.1772,150.87,152.97,1.3903,UP
2023-02-15,14,0.1828,0.7721,0.0451,152.97,151.38,-1.0429,DOWN
2023-02-16,12,0.251,0.5205,0.2286,151.38,150.23,-0.7547,DOWN
2023-02-17,9,0.278,0.6629,0.0591,150.23,146.22,-2.668,DOWN
2023-02-21,10,0.2872,0.5173,0.1955,146.22,146.65,0.2896,UP
2023-02-22,14,0.2361,0.6493,0.1147,146.65,147.13,0.3291,UP
2023-02-23,18,0.1814,0.7054,0.1132,147.13,144.48,-1.8006,DOWN
2023-02-24,10,0.1412,0.6481,0.2107,144.48,145.67,0.8247,UP
2023-02-27,16,0.1328,0.7193,0.1479,145.67,145.17,-0.3448,DOWN
2023-02-28,22,0.164,0.6637,0.1723,145.17,143.1,-1.4246,DOWN
2023-03-01,18,0.0954,0.7102,0.1944,143.1,143.69,0.4129,UP
2023-03-02,15,0.0371,0.7654,0.1974,143.69,148.74,3.509,UP
2023-03-03,16,0.0296,0.7407,0.2297,148.74,151.49,1.8539,UP
2023-03-06,22,0.2965,0.5475,0.156,151.49,149.3,-1.4496,DOWN
2023-03-07,18,0.2052,0.5756,0.2192,149.3,150.55,0.8377,UP
2023-03-08,13,0.2306,0.5815,0.1879,150.55,148.3,-1.4915,DOWN
2023-03-09,16,0.1799,0.6435,0.1767,148.3,146.24,-1.3879,DOWN
2023-03-10,14,0.2102,0.5977,0.1921,146.24,148.18,1.3266,UP
2023-03-13,14,0.2218,0.6228,0.1554,148.18,150.27,1.4089,UP
2023-03-14,10,0.1188,0.5993,0.2819,150.27,150.67,0.2621,UP
2023-03-15,9,0.2869,0.5561,0.157,150.67,153.48,1.8694,UP
2023-03-16,13,0.1605,0.6612,0.1783,153.48,152.65,-0.5454,DOWN
2023-03-17,12,0.1114,0.6626,0.226,152.65,155.01,1.5484,UP
2023-03-20,7,0.2806,0.4429,0.2765,155.01,156.86,1.1944,UP
2023-03-21,14,0.1042,0.6077,0.2881,156.86,155.43,-0.9104,DOWN
2023-03-22,14,0.1075,0.714,0.1785,155.43,156.52,0.6969,UP
2023-03-23,15,0.1711,0.5181,0.3108,156.52,157.82,0.8306,UP
2023-03-24,15,0.1011,0.6752,0.2236,157.82,155.88,-1.2293,DOWN
2023-03-27,12,0.1513,0.6197,0.229,155.88,155.26,-0.398,DOWN
2023-03-28,19,0.1903,0.6183,0.1914,155.26,158.33,1.9791,UP
2023-03-29,15,0.1481,0.6642,0.1877,158.33,159.89,0.989,UP
2023-03-30,22,0.1706,0.6687,0.1608,159.89,162.4,1.5644,UP
2023-03-31,18,0.1022,0.7123,0.1855,162.4,163.65,0.7702,UP
2023-04-03,23,0.1542,0.6826,0.1631,163.65,163.11,-0.325,DOWN
2023-04-04,15,0.1289,0.6197,0.2514,163.11,161.27,-1.129,DOWN
2023-04-05,20,0.0777,0.6589,0.2634,161.27,162.16,0.5496,UP
2023-04-06,20,0.1502,0.5514,0.2985,162.16,159.57,-1.5972,DOWN
2023-04-10,17,0.1292,0.6683,0.2025,159.57,158.36,-0.7591,DOWN
2023-04-11,23,0.1518,0.5567,0.2915,158.36,157.67,-0.4353,DOWN
2023-04-12,14,0.1635,0.7337,0.1028,157.67,163.05,3.4104,UP
2023-04-13,16,0.1703,0.6681,0.1616,163.05,162.7,-0.2114,DOWN
2023-04-14,14,0.0714,0.7585,0.1701,162.7,162.72,0.0121,UP
2023-04-17,17,0.3331,0.5474,0.1195,162.72,163.94,0.7505,UP
2023-04-18,14,0.0992,0.704,0.1968,163.94,165.08,0.6968,UP
2023-04-19,15,0.2958,0.5626,0.1417,165.08,164.12,-0.5846,DOWN
2023-04-20,17,0.1342,0.5935,0.2723,164.12,162.51,-0.9781,DOWN
2023-04-21,10,0.2612,0.548,0.1908,162.51,162.82,0.1879,UP
2023-04-24,15,0.0899,0.7081,0.202,162.82,161.28,-0.9435,DOWN
2023-04-25,24,0.1644,0.6501,0.1856,161.28,161.27,-0.0061,DOWN
