date,n_articles,avg_negative,avg_neutral,avg_positive,close,next_close,next_day_pct,direction
2021-05-03,6,0.0448,0.6841,0.2711,128.97,124.41,-3.5385,DOWN
2021-05-04,38,0.1601,0.6233,0.2166,124.41,124.65,0.1955,UP
2021-05-05,20,0.1808,0.5281,0.2911,124.65,126.25,1.2803,UP
2021-05-06,14,0.1562,0.6718,0.172,126.25,126.92,0.5328,UP
2021-05-07,11,0.2011,0.6225,0.1764,126.92,123.65,-2.5805,DOWN
2021-05-10,5,0.1426,0.7542,0.1032,123.65,122.73,-0.741,DOWN
2021-05-11,11,0.3322,0.4291,0.2387,122.73,119.67,-2.4939,DOWN
2021-05-12,24,0.2799,0.5088,0.2113,119.67,121.81,1.792,UP
2021-05-13,22,0.3747,0.427,0.1983,121.81,124.23,1.9845,UP
2021-05-14,16,0.208,0.5853,0.2067,124.23,123.08,-0.9259,DOWN
2021-05-17,4,0.1683,0.7235,0.1082,123.08,121.7,-1.1246,DOWN
2021-05-18,16,0.1805,0.6055,0.214,121.7,121.54,-0.1282,DOWN
2021-05-19,19,0.1051,0.7317,0.1632,121.54,124.1,2.1012,UP
2021-05-20,17,0.2328,0.5919,0.1753,124.1,122.26,-1.4767,DOWN
2021-05-21,14,0.095,0.6389,0.2661,122.26,123.89,1.3314,UP
2021-05-24,4,0.0623,0.7898,0.148,123.89,123.7,-0.1573,DOWN
2021-05-25,13,0.1484,0.7059,0.1457,123.7,123.65,-0.0394,DOWN
2021-05-26,12,0.2121,0.5654,0.2225,123.65,122.12,-1.2377,DOWN
2021-05-27,12,0.082,0.7055,0.2125,122.12,121.46,-0.5348,DOWN
2021-05-28,12,0.124,0.5972,0.2788,121.46,121.14,-0.2648,DOWN
2021-06-01,7,0.0345,0.8835,0.082,121.14,121.9,0.6276,UP
2021-06-02,12,0.1118,0.607,0.2812,121.9,120.42,-1.2154,DOWN
2021-06-03,13,0.1654,0.5939,0.2407,120.42,122.71,1.9022,UP
2021-06-04,16,0.2263,0.5827,0.191,122.71,122.72,0.008,UP
2021-06-07,9,0.1551,0.7947,0.0502,122.72,123.54,0.6672,UP
2021-06-08,24,0.2037,0.6875,0.1088,123.54,123.92,0.3077,UP
2021-06-09,23,0.1085,0.6776,0.2138,123.92,122.93,-0.8023,DOWN
2021-06-10,22,0.1456,0.6341,0.2204,122.93,124.13,0.9833,UP
2021-06-11,25,0.1498,0.7016,0.1486,124.13,127.19,2.4578,UP
2021-06-14,9,0.1308,0.6762,0.1929,127.19,126.37,-0.6437,DOWN
2021-06-15,18,0.2561,0.614,0.1299,126.37,126.86,0.3934,UP
2021-06-16,17,0.1386,0.7178,0.1436,126.86,128.46,1.2601,UP
2021-06-17,19,0.0811,0.7966,0.1223,128.46,127.17,-1.0091,DOWN
2021-06-18,16,0.1439,0.7373,0.1188,127.17,128.96,1.4104,UP
2021-06-21,9,0.171,0.6741,0.1548,128.96,130.6,1.2698,UP
2021-06-22,19,0.1555,0.6647,0.1798,130.6,130.32,-0.209,DOWN
2021-06-23,19,0.0922,0.6288,0.2791,130.32,130.04,-0.2169,DOWN
2021-06-24,23,0.0818,0.5761,0.3421,130.04,129.75,-0.2249,DOWN
2021-06-25,27,0.0719,0.6883,0.2398,129.75,131.38,1.2546,UP
2021-06-28,3,0.0203,0.9327,0.0469,131.38,132.89,1.15,UP
2021-06-29,15,0.1191,0.6557,0.2252,132.89,133.5,0.4621,UP
2021-06-30,22,0.1939,0.6227,0.1834,133.5,133.8,0.2263,UP
2021-07-01,22,0.1567,0.6786,0.1647,133.8,136.43,1.9597,UP
2021-07-02,9,0.2489,0.5182,0.2329,136.43,138.43,1.4719,UP
2021-07-06,7,0.0163,0.8526,0.1311,138.43,140.92,1.7955,UP
2021-07-07,23,0.1601,0.5638,0.2762,140.92,139.62,-0.92,DOWN
2021-07-08,17,0.0922,0.5817,0.3261,139.62,141.45,1.3055,UP
2021-07-09,29,0.2495,0.5362,0.2143,141.45,140.85,-0.4204,DOWN
2021-07-12,7,0.0275,0.6237,0.3488,140.85,141.96,0.789,UP
2021-07-13,20,0.11,0.5352,0.3548,141.96,145.38,2.41,UP
2021-07-14,25,0.2231,0.5716,0.2053,145.38,144.73,-0.4492,DOWN
2021-07-15,28,0.0972,0.5859,0.3169,144.73,142.69,-1.4076,DOWN
2021-07-16,35,0.1329,0.5539,0.3132,142.69,138.85,-2.6914,DOWN
2021-07-19,4,0.0194,0.9043,0.0763,138.85,142.46,2.5974,UP
2021-07-20,19,0.2244,0.6201,0.1554,142.46,141.73,-0.5132,DOWN
2021-07-21,22,0.1574,0.4846,0.358,141.73,143.09,0.9629,UP
2021-07-22,26,0.2264,0.6203,0.1533,143.09,144.81,1.1989,UP
2021-07-23,35,0.0818,0.6237,0.2945,144.81,145.23,0.2895,UP
2021-07-26,12,0.1137,0.8176,0.0687,145.23,143.06,-1.49,DOWN
2021-07-27,34,0.1007,0.6348,0.2645,143.06,141.32,-1.2196,DOWN
2021-07-28,45,0.2297,0.5172,0.2531,141.32,141.96,0.4552,UP
2021-07-29,35,0.2369,0.4507,0.3124,141.96,142.18,0.151,UP
2021-07-30,26,0.3154,0.4661,0.2184,142.18,141.85,-0.2331,DOWN
2021-08-02,10,0.1355,0.8061,0.0584,141.85,143.64,1.2644,UP
2021-08-03,19,0.1522,0.5986,0.2492,143.64,143.24,-0.2782,DOWN
2021-08-04,25,0.1672,0.5116,0.3212,143.24,143.35,0.0749,UP
2021-08-05,20,0.2464,0.5452,0.2084,143.35,142.66,-0.4767,DOWN
2021-08-06,17,0.0888,0.734,0.1771,142.66,142.61,-0.0342,DOWN
2021-08-09,5,0.0522,0.8215,0.1262,142.61,142.14,-0.3354,DOWN
2021-08-10,13,0.2015,0.543,0.2554,142.14,142.39,0.1786,UP
2021-08-11,16,0.0481,0.7016,0.2504,142.39,145.35,2.0773,UP
2021-08-12,23,0.2191,0.5082,0.2727,145.35,145.55,0.141,UP
2021-08-13,17,0.2835,0.4897,0.2267,145.55,147.53,1.3548,UP
2021-08-16,7,0.2021,0.5123,0.2856,147.53,146.62,-0.6154,DOWN
2021-08-17,18,0.1435,0.6844,0.1721,146.62,142.88,-2.5501,DOWN
2021-08-18,21,0.1877,0.6111,0.2012,142.88,143.21,0.2323,UP
2021-08-19,13,0.2302,0.532,0.2378,143.21,144.66,1.0157,UP
2021-08-20,19,0.1923,0.5511,0.2566,144.66,146.15,1.0257,UP
2021-08-23,5,0.0564,0.9051,0.0385,146.15,146.06,-0.0601,DOWN
2021-08-24,17,0.136,0.6985,0.1655,146.06,144.83,-0.8422,DOWN
2021-08-25,27,0.1518,0.6666,0.1816,144.83,144.03,-0.5527,DOWN
2021-08-26,22,0.0998,0.5759,0.3243,144.03,145.07,0.7185,UP
2021-08-27,18,0.1956,0.5498,0.2546,145.07,149.48,3.0417,UP
2021-08-30,5,0.035,0.8271,0.1379,149.48,148.22,-0.8425,DOWN
2021-08-31,23,0.1895,0.6156,0.1949,148.22,148.88,0.4479,UP
2021-09-01,26,0.1751,0.5562,0.2687,148.88,150.0,0.7475,UP
2021-09-02,30,0.1993,0.5952,0.2056,150.0,150.63,0.423,UP
2021-09-03,25,0.1179,0.6369,0.2452,150.63,152.96,1.549,UP
2021-09-07,6,0.0236,0.6006,0.3758,152.96,151.42,-1.0084,DOWN
2021-09-08,26,0.1731,0.5574,0.2695,151.42,150.41,-0.6705,DOWN
2021-09-09,27,0.1573,0.5647,0.2781,150.41,145.43,-3.3102,DOWN
2021-09-10,21,0.1583,0.6109,0.2308,145.43,145.99,0.3893,UP
2021-09-13,9,0.0515,0.813,0.1354,145.99,144.6,-0.9562,DOWN
2021-09-14,31,0.281,0.4613,0.2577,144.6,145.48,0.6144,UP
2021-09-15,45,0.2282,0.6104,0.1614,145.48,145.25,-0.1611,DOWN
2021-09-16,32,0.2403,0.6154,0.1442,145.25,142.59,-1.8348,DOWN
2021-09-17,25,0.2219,0.584,0.1941,142.59,139.54,-2.1361,DOWN
2021-09-20,9,0.0236,0.8683,0.1082,139.54,140.02,0.3428,UP
2021-09-21,25,0.1558,0.6649,0.1793,140.02,142.38,1.6872,UP
2021-09-22,34,0.134,0.698,0.168,142.38,143.34,0.672,UP
2021-09-23,14,0.102,0.7261,0.1719,143.34,143.43,0.0613,UP
2021-09-24,30,0.2643,0.5008,0.2348,143.43,141.91,-1.055,DOWN
2021-09-27,9,0.1214,0.7425,0.1361,141.91,138.53,-2.3801,DOWN
2021-09-28,16,0.1902,0.501,0.3088,138.53,139.43,0.6483,UP
2021-09-29,22,0.1365,0.5479,0.3156,139.43,138.13,-0.9312,DOWN
2021-09-30,19,0.1859,0.6414,0.1727,138.13,139.26,0.8127,UP
2021-10-01,17,0.1494,0.7882,0.0625,139.26,135.83,-2.4605,DOWN
2021-10-04,8,0.0263,0.7692,0.2045,135.83,137.75,1.4158,UP
2021-10-05,18,0.2272,0.4822,0.2906,137.75,138.62,0.6307,UP
2021-10-06,19,0.3344,0.5304,0.1352,138.62,139.88,0.9084,UP
2021-10-07,25,0.2624,0.5522,0.1854,139.88,139.5,-0.2722,DOWN
2021-10-08,19,0.2356,0.6608,0.1036,139.5,139.41,-0.063,DOWN
2021-10-11,4,0.1851,0.5114,0.3035,139.41,138.14,-0.9103,DOWN
2021-10-12,18,0.0642,0.6842,0.2516,138.14,137.56,-0.424,DOWN
