date,n_articles,avg_negative,avg_neutral,avg_positive,close,next_close,next_day_pct,direction
2023-01-03,13,0.2381,0.6218,0.1401,233.45,223.24,-4.3743,DOWN
2023-01-04,19,0.3699,0.5151,0.115,223.24,216.62,-2.9638,DOWN
2023-01-05,26,0.1529,0.6323,0.2148,216.62,219.18,1.1785,UP
2023-01-06,13,0.1977,0.6509,0.1514,219.18,221.31,0.9736,UP
2023-01-09,9,0.1337,0.7082,0.1581,221.31,223.0,0.7617,UP
2023-01-10,21,0.1065,0.8238,0.0697,223.0,229.74,3.0238,UP
2023-01-11,19,0.1587,0.6645,0.1768,229.74,232.41,1.1622,UP
2023-01-12,12,0.1928,0.677,0.1302,232.41,233.11,0.3019,UP
2023-01-13,11,0.1585,0.6577,0.1838,233.11,234.2,0.4682,UP
2023-01-17,17,0.3622,0.5844,0.0535,234.2,229.78,-1.8889,DOWN
2023-01-18,23,0.3293,0.5296,0.1411,229.78,226.0,-1.6454,DOWN
2023-01-19,20,0.3472,0.5014,0.1515,226.0,234.08,3.5744,UP
2023-01-20,24,0.3227,0.539,0.1383,234.08,236.38,0.9824,UP
2023-01-23,30,0.1127,0.5557,0.3316,236.38,235.85,-0.2226,DOWN
2023-01-24,34,0.2083,0.6223,0.1694,235.85,234.46,-0.5908,DOWN
2023-01-25,46,0.3949,0.5155,0.0896,234.46,241.66,3.0714,UP
2023-01-26,30,0.1839,0.5931,0.223,241.66,241.81,0.0645,UP
2023-01-27,21,0.1074,0.7325,0.1601,241.81,236.5,-2.1962,DOWN
2023-01-30,15,0.2773,0.6369,0.0857,236.5,241.47,2.1013,UP
2023-01-31,17,0.1807,0.6977,0.1216,241.47,246.29,1.9935,UP
2023-02-01,24,0.1951,0.6367,0.1682,246.29,257.83,4.6884,UP
2023-02-02,18,0.2128,0.5393,0.2479,257.83,251.74,-2.362,DOWN
2023-02-03,16,0.2505,0.5565,0.1931,251.74,250.2,-0.6116,DOWN
2023-02-06,18,0.0823,0.7739,0.1438,250.2,260.72,4.2022,UP
2023-02-07,28,0.212,0.5928,0.1951,260.72,259.91,-0.3102,DOWN
2023-02-08,37,0.1699,0.6618,0.1683,259.91,256.88,-1.166,DOWN
2023-02-09,16,0.213,0.6682,0.1189,256.88,256.37,-0.1972,DOWN
2023-02-10,13,0.1621,0.62,0.2178,256.37,264.38,3.1243,UP
2023-02-13,17,0.1097,0.6304,0.2598,264.38,265.21,0.3133,UP
2023-02-14,18,0.2717,0.4914,0.237,265.21,263.09,-0.7993,DOWN
2023-02-15,19,0.1542,0.7187,0.1271,263.09,256.09,-2.6623,DOWN
2023-02-16,11,0.2125,0.5999,0.1876,256.09,252.09,-1.5602,DOWN
2023-02-17,9,0.07,0.6933,0.2367,252.09,246.82,-2.0887,DOWN
2023-02-21,10,0.1778,0.6004,0.2218,246.82,245.69,-0.4591,DOWN
2023-02-22,8,0.0722,0.7454,0.1824,245.69,248.88,1.2962,UP
2023-02-23,13,0.1216,0.5554,0.323,248.88,243.45,-2.1784,DOWN
2023-02-24,12,0.253,0.5514,0.1956,243.45,244.37,0.3772,UP
2023-02-27,15,0.1312,0.7053,0.1636,244.37,243.65,-0.2958,DOWN
2023-02-28,11,0.0616,0.6464,0.292,243.65,240.57,-1.2629,DOWN
2023-03-01,12,0.2596,0.5573,0.1831,240.57,245.3,1.9653,UP
2023-03-02,16,0.1478,0.5926,0.2596,245.3,249.38,1.6646,UP
2023-03-03,10,0.1065,0.7436,0.1499,249.38,250.93,0.6189,UP
2023-03-06,8,0.3233,0.5101,0.1666,250.93,248.27,-1.0589,DOWN
2023-03-07,15,0.1907,0.6276,0.1818,248.27,247.83,-0.1771,DOWN
